Year,Country,Region,Wave,LIS Dataset,Gross / net,"Primary
income (a)","Gross
income (b)","Disposable
income (c)",Absolute (a-c),"Relative 
(a-c)/a*100","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual,"Residual / total 
redistribution","Ratio other transfers / 
total transfers",,Year,Country,Region,Wave,LIS Dataset,Gross / net,"Relative fiscal
redistribution","Total
redistribution","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual
1986,NO,Europe - other,Wave II,Norway 1986,Gross,0.362,0.262,0.234,0.128,35%,0.006,,0.008,,0.002,,,0.084,0.028,0,-0.10%,65.50%,,1986,NO,Europe - other,Wave II,Norway 1986,Gross,35%,100%,5%,,6%,,1%,,,66%,22%,0%
1979,NO,Europe - other,Wave I,Norway 1979,Gross,0.372,0.273,0.224,0.148,40%,0.006,,0.006,,,,,0.087,0.05,0,0.00%,58.50%,,1979,NO,Europe - other,Wave I,Norway 1979,Gross,40%,100%,4%,,4%,,,,,58%,34%,0%
2013,PA,Latin America,Wave IX,Panama 2013,Gross,0.514,0.482,0.467,0.048,9%,0.016,,0.004,0.01,,0,0.004,0,0.015,0,-0.20%,0.20%,,2013,PA,Latin America,Wave IX,Panama 2013,Gross,9%,100%,33%,,8%,21%,,0%,8%,0%,31%,0%
2010,PA,Latin America,Wave VIII,Panama 2010,Gross,0.512,0.482,0.471,0.041,8%,0.011,,0.01,0.003,,0,0.005,0,0.011,0,0.80%,0.40%,,2010,PA,Latin America,Wave VIII,Panama 2010,Gross,8%,100%,28%,,24%,8%,,0%,12%,0%,27%,1%
2007,PA,Latin America,Wave VII,Panama 2007,Gross,0.516,0.494,0.481,0.035,7%,0.01,,,0.002,,0,0.008,0.001,0.013,0,-0.30%,4.20%,,2007,PA,Latin America,Wave VII,Panama 2007,Gross,7%,100%,28%,,,6%,,0%,24%,4%,38%,0%
2013,PY,Latin America,Wave IX,Paraguay 2013,Net,0.472,0.463,0.463,0.008,2%,0.005,,,,,,,0.001,,0.002,20.00%,18.00%,,2013,PY,Latin America,Wave IX,Paraguay 2013,Net,2%,100%,62%,,,,,,,18%,,20%
2010,PY,Latin America,Wave VIII,Paraguay 2010,Net,0.471,0.469,0.469,0.002,0%,-0.001,,,,,,,0.002,,0.001,54.20%,97.40%,,2010,PY,Latin America,Wave VIII,Paraguay 2010,Net,0%,100%,-52%,,,,,,,97%,,54%
2013,PE,Latin America,Wave IX,Peru 2013,Gross,0.483,0.465,0.455,0.028,6%,0.006,,0.004,0.001,,0,0.006,0,0.01,0,-0.10%,-0.10%,,2013,PE,Latin America,Wave IX,Peru 2013,Gross,6%,100%,21%,,16%,3%,,0%,23%,0%,37%,0%
2010,PE,Latin America,Wave VIII,Peru 2010,Gross,0.496,0.479,0.47,0.026,5%,0.006,,0.004,0.001,,0,0.006,0,0.008,0,0.10%,0.10%,,2010,PE,Latin America,Wave VIII,Peru 2010,Gross,5%,100%,24%,,16%,5%,,0%,23%,0%,32%,0%
2007,PE,Latin America,Wave VII,Peru 2007,Gross,0.524,0.508,0.5,0.024,5%,0.005,,0.004,0.001,,0,0.006,0,0.007,0,0.30%,0.10%,,2007,PE,Latin America,Wave VII,Peru 2007,Gross,5%,100%,23%,,15%,5%,,0%,26%,0%,31%,0%
2004,PE,Latin America,Wave VI,Peru 2004,Gross,0.536,0.526,0.519,0.017,3%,0.005,,,0,,0,0.005,0,0.006,0,0.00%,0.10%,,2004,PE,Latin America,Wave VI,Peru 2004,Gross,3%,100%,33%,,,1%,,0%,27%,0%,39%,0%
2013,PL,CEE,Wave IX,Poland 2013,Gross,0.484,0.317,0.316,0.168,35%,0.144,,0.01,0.001,0.003,0.001,0.006,0.002,0,0,0.00%,1.20%,,2013,PL,CEE,Wave IX,Poland 2013,Gross,35%,100%,86%,,6%,0%,2%,1%,4%,1%,0%,0%
2010,PL,CEE,Wave VIII,Poland 2010,Gross,0.477,0.311,0.31,0.167,35%,0.143,,0.01,0.001,0.003,0.001,0.005,0.003,0.001,0,0.00%,1.60%,,2010,PL,CEE,Wave VIII,Poland 2010,Gross,35%,100%,86%,,6%,0%,2%,0%,3%,2%,1%,0%
2007,PL,CEE,Wave VII,Poland 2007,Gross,0.49,0.313,0.31,0.18,37%,0.151,,0.013,0.001,0.003,0.001,0.006,0.002,0.003,0,-0.10%,1.20%,,2007,PL,CEE,Wave VII,Poland 2007,Gross,37%,100%,84%,,7%,0%,1%,1%,3%,1%,2%,0%
2004,PL,CEE,Wave VI,Poland 2004,Gross,0.526,0.323,0.315,0.21,40%,0.171,0.001,0.015,0,0.006,0.003,0.006,0.001,0.008,0,-0.10%,0.60%,,2004,PL,CEE,Wave VI,Poland 2004,Gross,40%,100%,81%,0%,7%,0%,3%,2%,3%,1%,4%,0%
1999,PL,CEE,Wave V,Poland 1999,Gross,0.475,0.293,0.286,0.188,40%,0.153,0.001,0.011,,0.009,0.002,0.004,0.001,0.007,0,-0.10%,0.50%,,1999,PL,CEE,Wave V,Poland 1999,Gross,40%,100%,81%,0%,6%,,5%,1%,2%,1%,4%,0%
1995,PL,CEE,Wave IV,Poland 1995,Mix,0.534,0.325,0.318,0.217,41%,0.164,,0.016,,0.02,,,0.01,0.007,0,-0.10%,4.50%,,1995,PL,CEE,Wave IV,Poland 1995,Mix,41%,100%,76%,,8%,,9%,,,5%,3%,0%
1992,PL,CEE,Wave III,Poland 1992,Net,0.403,0.262,0.262,0.141,35%,0.096,,0.02,,0.026,,,0,,-0.001,-0.80%,0.00%,,1992,PL,CEE,Wave III,Poland 1992,Net,35%,100%,68%,,14%,,18%,,,0%,,-1%
1986,PL,CEE,Wave II,Poland 1986,Net,0.366,0.271,0.271,0.095,26%,0.076,,0.002,,,,,0.016,,0.001,0.80%,16.50%,,1986,PL,CEE,Wave II,Poland 1986,Net,26%,100%,80%,,2%,,,,,17%,,1%
1997,RO,CEE,Wave IV,Romania 1997,Gross,0.375,0.296,0.28,0.095,25%,0.063,0,0.011,0,0.004,,,0.001,0.016,0,0.00%,0.80%,,1997,RO,CEE,Wave IV,Romania 1997,Gross,25%,100%,66%,0%,12%,0%,4%,,,1%,16%,0%
1995,RO,CEE,Wave IV,Romania 1995,Gross,0.376,0.298,0.279,0.097,26%,0.063,0,0.006,0,0.007,,,0.002,0.02,0,0.00%,1.80%,,1995,RO,CEE,Wave IV,Romania 1995,Gross,26%,100%,65%,0%,6%,0%,7%,,,2%,20%,0%
2013,RU,BRICS,Wave IX,Russia 2013,Net,0.457,0.331,0.331,0.126,28%,0.118,,0.004,,0,0,,0.002,,0.001,0.80%,1.80%,,2013,RU,BRICS,Wave IX,Russia 2013,Net,28%,100%,94%,,3%,,0%,0%,,2%,,1%
2010,RU,BRICS,Wave VIII,Russia 2010,Net,0.45,0.338,0.338,0.112,25%,0.103,,0.005,,0,0,,0.002,,0.001,1.10%,1.70%,,2010,RU,BRICS,Wave VIII,Russia 2010,Net,25%,100%,92%,,4%,,0%,0%,,2%,,1%
2007,RU,BRICS,Wave VII,Russia 2007,Net,0.446,0.35,0.35,0.096,22%,0.089,,0.003,,0,0.001,,0.003,,0,0.10%,2.80%,,2007,RU,BRICS,Wave VII,Russia 2007,Net,22%,100%,93%,,3%,,0%,1%,,3%,,0%
2004,RU,BRICS,Wave VI,Russia 2004,Net,0.492,0.388,0.388,0.104,21%,0.098,,0.002,,0,0,,0.003,,0,0.00%,2.50%,,2004,RU,BRICS,Wave VI,Russia 2004,Net,21%,100%,95%,,2%,,0%,0%,,2%,,0%
2000,RU,BRICS,Wave V,Russia 2000,Net,0.507,0.408,0.408,0.099,19%,0.086,,0.004,0.001,0.001,0.003,,0.005,,0,-0.20%,5.10%,,2000,RU,BRICS,Wave V,Russia 2000,Net,19%,100%,87%,,4%,1%,1%,3%,,5%,,0%
2013,RS,Europe - other,Wave IX,Serbia 2013,Net,0.518,0.332,0.332,0.187,36%,0.164,,0.005,,0.003,,,0.009,,0.006,3.00%,4.70%,,2013,RS,Europe - other,Wave IX,Serbia 2013,Net,36%,100%,88%,,3%,,2%,,,5%,,3%
2010,RS,Europe - other,Wave VIII,Serbia 2010,Net,0.513,0.324,0.324,0.189,37%,0.169,,0.005,,0.005,,,0.007,,0.004,2.10%,3.80%,,2010,RS,Europe - other,Wave VIII,Serbia 2010,Net,37%,100%,89%,,3%,,2%,,,4%,,2%
2006,RS,Europe - other,Wave VII,Serbia 2006,Net,0.472,0.343,0.343,0.129,27%,0.117,,0.005,,0.004,,,0.004,,-0.002,-1.20%,3.40%,,2006,RS,Europe - other,Wave VII,Serbia 2006,Net,27%,100%,91%,,4%,,3%,,,3%,,-1%
2013,SK,CEE,Wave IX,Slovakia 2013,Gross,0.425,0.287,0.268,0.157,37%,0.114,0.001,0.014,0.001,0.001,,,0.008,0.019,0,0.00%,4.90%,,2013,SK,CEE,Wave IX,Slovakia 2013,Gross,37%,100%,73%,0%,9%,0%,1%,,,5%,12%,0%
2010,SK,CEE,Wave VIII,Slovakia 2010,Gross,0.429,0.28,0.262,0.167,39%,0.124,0.001,0.012,0.001,0.004,,,0.007,0.018,0,0.00%,4.50%,,2010,SK,CEE,Wave VIII,Slovakia 2010,Gross,39%,100%,74%,1%,7%,1%,2%,,,4%,11%,0%
2007,SK,CEE,Wave VII,Slovakia 2007,Gross,0.503,0.389,0.248,0.255,51%,0.1,0,0.007,0,0.001,,,0.005,0.141,0,0.00%,1.90%,,2007,SK,CEE,Wave VII,Slovakia 2007,Gross,51%,100%,39%,0%,3%,0%,0%,,,2%,55%,0%
2004,SK,CEE,Wave VI,Slovakia 2004,Gross,0.474,0.332,0.269,0.205,43%,0.113,0.001,0.011,0,0.004,,,0.013,0.063,0,0.00%,6.40%,,2004,SK,CEE,Wave VI,Slovakia 2004,Gross,43%,100%,55%,0%,5%,0%,2%,,,6%,31%,0%
1996,SK,CEE,Wave IV,Slovakia 1996,Net,0.43,0.25,0.25,0.18,42%,0.132,0.002,0.033,,0.013,,,0.001,,-0.001,-0.30%,0.40%,,1996,SK,CEE,Wave IV,Slovakia 1996,Net,42%,100%,73%,1%,19%,,7%,,,0%,,0%
1992,SK,CEE,Wave III,Slovakia 1992,Gross,0.401,0.216,0.189,0.212,53%,0.112,0.004,0.029,,0.007,,,0.035,0.027,-0.001,-0.60%,16.50%,,1992,SK,CEE,Wave III,Slovakia 1992,Gross,53%,100%,53%,2%,14%,,3%,,,17%,12%,-1%
2012,SI,CEE,Wave IX,Slovenia 2012,Net,0.449,0.271,0.271,0.178,40%,,,0.011,0.004,0.006,,,0.156,,0,-0.10%,87.70%,,2012,SI,CEE,Wave IX,Slovenia 2012,Net,40%,100%,,,6%,2%,4%,,,88%,,0%
2010,SI,CEE,Wave VIII,Slovenia 2010,Net,0.415,0.252,0.252,0.163,39%,,,0.011,0.003,0.005,0,0.004,0.141,,0,0.00%,86.40%,,2010,SI,CEE,Wave VIII,Slovenia 2010,Net,39%,100%,,,7%,2%,3%,0%,2%,86%,,0%
2007,SI,CEE,Wave VII,Slovenia 2007,Net,0.395,0.23,0.23,0.165,42%,,,0.013,0.003,0.004,0,0.004,0.141,,0,-0.10%,85.60%,,2007,SI,CEE,Wave VII,Slovenia 2007,Net,42%,100%,,,8%,2%,2%,0%,2%,86%,,0%
2004,SI,CEE,Wave VI,Slovenia 2004,Net,0.396,0.231,0.231,0.165,42%,,,0.016,0.003,0.005,0,0.004,0.137,,0,-0.10%,83.10%,,2004,SI,CEE,Wave VI,Slovenia 2004,Net,42%,100%,,,10%,2%,3%,0%,3%,83%,,0%
1999,SI,CEE,Wave V,Slovenia 1999,Net,0.372,0.232,0.232,0.14,38%,,,0.011,0.003,0.008,0,0.002,0.115,,0,-0.10%,82.40%,,1999,SI,CEE,Wave V,Slovenia 1999,Net,38%,100%,,,8%,2%,6%,0%,2%,82%,,0%
1997,SI,CEE,Wave IV,Slovenia 1997,Net,0.366,0.229,0.229,0.137,37%,,,0.011,0.003,0.009,0,0.002,0.113,,0,-0.10%,82.70%,,1997,SI,CEE,Wave IV,Slovenia 1997,Net,37%,100%,,,8%,2%,6%,0%,1%,83%,,0%
2012,ZA,BRICS,Wave IX,South Africa 2012,Gross,0.664,0.625,0.572,0.093,14%,0.022,,0.016,,,,,0,0.054,0.001,1.00%,-0.50%,,2012,ZA,BRICS,Wave IX,South Africa 2012,Gross,14%,100%,24%,,17%,,,,,-1%,58%,1%
2010,ZA,BRICS,Wave VIII,South Africa 2010,Gross,0.665,0.639,0.585,0.08,12%,0.015,,0.009,,,,,-0.001,0.054,0.002,2.80%,-1.80%,,2010,ZA,BRICS,Wave VIII,South Africa 2010,Gross,12%,100%,19%,,12%,,,,,-2%,68%,3%
2008,ZA,BRICS,Wave VII,South Africa 2008,Gross,0.661,0.621,0.596,0.065,10%,0.027,,0.014,,,,,0.001,0.025,-0.001,-0.90%,0.80%,,2008,ZA,BRICS,Wave VII,South Africa 2008,Gross,10%,100%,41%,,21%,,,,,1%,38%,-1%
2012,KR,South-East Asia,Wave IX,South Korea 2012,Gross,0.337,0.314,0.306,0.031,9%,0.013,,,,,,,0.01,0.008,0,0.00%,31.80%,,2012,KR,South-East Asia,Wave IX,South Korea 2012,Gross,9%,100%,43%,,,,,,,32%,25%,0%
2010,KR,South-East Asia,Wave VIII,South Korea 2010,Gross,0.341,0.316,0.309,0.032,9%,0.013,,,,,,,0.011,0.007,0,0.00%,36.30%,,2010,KR,South-East Asia,Wave VIII,South Korea 2010,Gross,9%,100%,40%,,,,,,,36%,24%,0%
2008,KR,South-East Asia,Wave VII,South Korea 2008,Gross,0.344,0.323,0.314,0.03,9%,0.009,,,,,,,0.012,0.009,0,0.00%,40.50%,,2008,KR,South-East Asia,Wave VII,South Korea 2008,Gross,9%,100%,29%,,,,,,,40%,30%,0%
2006,KR,South-East Asia,Wave VI,South Korea 2006,Gross,0.33,0.313,0.305,0.025,7%,0.006,,,,,,,0.01,0.008,0,0.00%,42.40%,,2006,KR,South-East Asia,Wave VI,South Korea 2006,Gross,7%,100%,26%,,,,,,,42%,31%,0%
2013,ES,EU15,Wave IX,Spain 2013,Gross,0.52,0.379,0.343,0.177,34%,0.104,0.001,0.001,0.001,0.03,0,,0.004,0.036,0,-0.10%,2.20%,,2013,ES,EU15,Wave IX,Spain 2013,Gross,34%,100%,59%,1%,1%,1%,17%,0%,,2%,20%,0%
2010,ES,EU15,Wave VIII,Spain 2010,Gross,0.547,0.426,0.333,0.214,39%,0.096,0.001,0.001,0.001,0.021,0.001,,0.002,0.093,0,-0.20%,0.90%,,2010,ES,EU15,Wave VIII,Spain 2010,Gross,39%,100%,45%,0%,0%,0%,10%,0%,,1%,43%,0%
2007,ES,EU15,Wave VII,Spain 2007,Gross,0.475,0.368,0.307,0.168,35%,0.093,0.002,0.001,0,0.008,0,,0.002,0.062,0,-0.10%,1.20%,,2007,ES,EU15,Wave VII,Spain 2007,Gross,35%,100%,55%,1%,0%,0%,5%,0%,,1%,37%,0%
2004,ES,EU15,Wave VI,Spain 2004,Net,0.446,0.316,0.316,0.131,29%,0.111,0.002,0,0.001,0.01,0,0,0,,0.006,4.80%,0.00%,,2004,ES,EU15,Wave VI,Spain 2004,Net,29%,100%,85%,2%,0%,1%,8%,0%,0%,0%,,5%
2000,ES,EU15,Wave V,Spain 2000,Net,0.476,0.336,0.336,0.14,29%,0.123,0.001,0.001,0.001,0.01,0,0,0,,0.004,2.50%,0.00%,,2000,ES,EU15,Wave V,Spain 2000,Net,29%,100%,88%,1%,1%,1%,7%,0%,0%,0%,,3%
1995,ES,EU15,Wave IV,Spain 1995,Net,0.503,0.353,0.353,0.15,30%,0.123,0.004,0.002,0.002,0.017,0,0.001,0.001,,0.001,0.90%,0.40%,,1995,ES,EU15,Wave IV,Spain 1995,Net,30%,100%,82%,2%,1%,1%,11%,0%,0%,0%,,1%
1990,ES,EU15,Wave III,Spain 1990,Net,0.419,0.302,0.302,0.117,28%,0.096,,,,0.015,,,0.006,,0,0.00%,5.50%,,1990,ES,EU15,Wave III,Spain 1990,Net,28%,100%,82%,,,,13%,,,5%,,0%
1985,ES,EU15,Wave II,Spain 1985,Net,0.433,0.314,0.314,0.119,27%,,,,,0.02,,,0.099,,0,0.30%,83.30%,,1985,ES,EU15,Wave II,Spain 1985,Net,27%,100%,,,,,16%,,,83%,,0%
1980,ES,EU15,Wave I,Spain 1980,Net,0.415,0.318,0.318,0.097,23%,,,,,,,,,,,0.00%,0.00%,,1980,ES,EU15,Wave I,Spain 1980,Net,23%,100%,,,,,,,,,,
2005,SE,EU15,Wave VI,Sweden 2005,Gross,0.466,0.274,0.237,0.229,49%,0,0.011,0.016,0.012,0.016,0.009,0.006,0.124,0.037,-0.001,-0.40%,54.00%,,2005,SE,EU15,Wave VI,Sweden 2005,Gross,49%,100%,0%,5%,7%,5%,7%,4%,3%,54%,16%,0%
2000,SE,EU15,Wave V,Sweden 2000,Gross,0.47,0.289,0.252,0.218,46%,0.114,0.013,0.014,0.007,0.017,0.01,0.007,0,0.037,0,-0.20%,0.00%,,2000,SE,EU15,Wave V,Sweden 2000,Gross,46%,100%,52%,6%,6%,3%,8%,5%,3%,0%,17%,0%
1995,SE,EU15,Wave IV,Sweden 1995,Gross,0.49,0.263,0.221,0.268,55%,0.12,0.008,0.033,0.011,0.03,0.015,0.011,0.001,0.041,-0.002,-0.80%,0.30%,,1995,SE,EU15,Wave IV,Sweden 1995,Gross,55%,100%,45%,3%,12%,4%,11%,6%,4%,0%,15%,-1%
1992,SE,EU15,Wave III,Sweden 1992,Gross,0.461,0.26,0.229,0.232,50%,0.119,0.01,0.019,,0.024,,,0.029,0.031,-0.001,-0.40%,12.70%,,1992,SE,EU15,Wave III,Sweden 1992,Gross,50%,100%,51%,4%,8%,,10%,,,13%,13%,0%
1987,SE,EU15,Wave II,Sweden 1987,Gross,0.429,0.253,0.212,0.218,51%,0.122,0.012,0.014,0.006,0.009,,,0.014,0.042,0,-0.20%,6.50%,,1987,SE,EU15,Wave II,Sweden 1987,Gross,51%,100%,56%,5%,6%,3%,4%,,,6%,19%,0%
1981,SE,EU15,Wave I,Sweden 1981,Gross,0.411,0.241,0.197,0.214,52%,0.113,0.009,0.01,,0.006,,,0.033,0.044,0,-0.20%,15.30%,,1981,SE,EU15,Wave I,Sweden 1981,Gross,52%,100%,53%,4%,5%,,3%,,,15%,20%,0%
1975,SE,EU15,Historical wave,Sweden 1975,Gross,0.4,0.274,0.215,0.185,46%,0.083,0.009,0.008,,0.002,,,0.024,0.058,0,-0.10%,13.10%,,1975,SE,EU15,Historical wave,Sweden 1975,Gross,46%,100%,45%,5%,4%,,1%,,,13%,32%,0%
1967,SE,EU15,Historical wave,Sweden 1967,Gross,0.391,0.316,0.26,0.13,33%,0.052,0.008,0.01,,0.002,,,0.002,0.056,0,0.00%,1.40%,,1967,SE,EU15,Historical wave,Sweden 1967,Gross,33%,100%,40%,7%,8%,,2%,,,1%,43%,0%
2013,CH,Europe - other,Wave IX,Switzerland 2013,Gross,0.425,0.3,0.295,0.13,31%,0.1,0,0.008,,0.005,0,,0.011,0.005,0,0.00%,8.60%,,2013,CH,Europe - other,Wave IX,Switzerland 2013,Gross,31%,100%,77%,0%,6%,,4%,0%,,9%,4%,0%
2010,CH,Europe - other,Wave VIII,Switzerland 2010,Gross,0.411,0.294,0.294,0.117,28%,0.098,0,0.006,,0.006,0,,0.007,-0.001,0,0.00%,5.70%,,2010,CH,Europe - other,Wave VIII,Switzerland 2010,Gross,28%,100%,84%,0%,5%,,6%,0%,,6%,0%,0%
2007,CH,Europe - other,Wave VII,Switzerland 2007,Gross,0.41,0.307,0.311,0.099,24%,0.09,0,0.005,,0.004,,,0.006,-0.005,0,0.00%,5.70%,,2007,CH,Europe - other,Wave VII,Switzerland 2007,Gross,24%,100%,91%,0%,5%,,4%,,,6%,-5%,0%
2004,CH,Europe - other,Wave VI,Switzerland 2004,Gross,0.394,0.265,0.268,0.127,32%,0.104,0.003,0.005,,0.01,0,0.003,0.004,-0.002,0,0.00%,3.00%,,2004,CH,Europe - other,Wave VI,Switzerland 2004,Gross,32%,100%,82%,2%,4%,,8%,0%,2%,3%,-2%,0%
2002,CH,Europe - other,Wave V,Switzerland 2002,Gross,0.391,0.276,0.273,0.118,30%,0.097,0.003,0.006,,0.005,0,0.001,0.003,0.003,0,-0.10%,2.70%,,2002,CH,Europe - other,Wave V,Switzerland 2002,Gross,30%,100%,82%,3%,5%,,4%,0%,1%,3%,2%,0%
2000,CH,Europe - other,Wave V,Switzerland 2000,Gross,0.385,0.278,0.28,0.105,27%,0.091,0.002,0.005,,0.004,0,0.001,0.003,-0.002,0,0.00%,2.60%,,2000,CH,Europe - other,Wave V,Switzerland 2000,Gross,27%,100%,87%,2%,5%,,4%,0%,1%,3%,-2%,0%
1992,CH,Europe - other,Wave III,Switzerland 1992,Gross,0.401,0.322,0.307,0.094,23%,0.072,0.001,,,0.003,0,0.002,0,0.015,0,0.00%,0.40%,,1992,CH,Europe - other,Wave III,Switzerland 1992,Gross,23%,100%,77%,1%,,,3%,0%,2%,0%,16%,0%
1982,CH,Europe - other,Wave I,Switzerland 1982,Gross,0.398,0.33,0.309,0.089,22%,0.063,,,,0.001,,,0.004,0.021,0,0.00%,4.40%,,1982,CH,Europe - other,Wave I,Switzerland 1982,Gross,22%,100%,71%,,,,1%,,,4%,24%,0%
2013,TW,South-East Asia,Wave IX,Taiwan 2013,Gross,0.333,0.304,0.308,0.025,8%,0.01,,,,,,0.002,0.018,-0.004,0,0.00%,69.60%,,2013,TW,South-East Asia,Wave IX,Taiwan 2013,Gross,8%,100%,39%,,,,,,6%,70%,-15%,0%
2010,TW,South-East Asia,Wave VIII,Taiwan 2010,Gross,0.329,0.307,0.317,0.012,4%,0.01,,,,,,0.001,0.01,-0.009,0,0.00%,81.40%,,2010,TW,South-East Asia,Wave VIII,Taiwan 2010,Gross,4%,100%,84%,,,,,,10%,81%,-75%,0%
2007,TW,South-East Asia,Wave VII,Taiwan 2007,Gross,0.329,0.304,0.307,0.022,7%,0.01,,,,,,0.001,0.013,-0.003,0,0.00%,60.50%,,2007,TW,South-East Asia,Wave VII,Taiwan 2007,Gross,7%,100%,47%,,,,,,4%,60%,-11%,0%
2005,TW,South-East Asia,Wave VI,Taiwan 2005,Gross,0.324,0.309,0.305,0.018,6%,0.009,,,,,,0.001,0.005,0.004,0,0.00%,25.30%,,2005,TW,South-East Asia,Wave VI,Taiwan 2005,Gross,6%,100%,49%,,,,,,5%,25%,21%,0%
2000,TW,South-East Asia,Wave V,Taiwan 2000,Gross,0.306,0.292,0.289,0.017,6%,0.005,,,,,,0.001,0.008,0.003,0,0.00%,47.10%,,2000,TW,South-East Asia,Wave V,Taiwan 2000,Gross,6%,100%,31%,,,,,,4%,47%,18%,0%
1997,TW,South-East Asia,Wave IV,Taiwan 1997,Gross,0.3,0.289,0.287,0.012,4%,0.004,,,,,,0.001,0.006,0.002,0,0.00%,48.00%,,1997,TW,South-East Asia,Wave IV,Taiwan 1997,Gross,4%,100%,34%,,,,,,5%,48%,14%,0%
1995,TW,South-East Asia,Wave IV,Taiwan 1995,Gross,0.313,,0.284,0.029,9%,,,,,,,,,,,,,,1995,TW,South-East Asia,Wave IV,Taiwan 1995,Gross,9%,100%,,,,,,,,,,
1991,TW,South-East Asia,Wave III,Taiwan 1991,Gross,0.281,0.277,0.271,0.01,4%,0.002,,,,,,,0.003,0.005,0,0.00%,31.30%,,1991,TW,South-East Asia,Wave III,Taiwan 1991,Gross,4%,100%,16%,,,,,,,31%,53%,0%
1986,TW,South-East Asia,Wave II,Taiwan 1986,Gross,0.275,0.274,0.269,0.007,2%,0,,,,,,,0.001,0.005,0,0.00%,15.60%,,1986,TW,South-East Asia,Wave II,Taiwan 1986,Gross,2%,100%,4%,,,,,,,16%,80%,0%
1981,TW,South-East Asia,Wave I,Taiwan 1981,Gross,0.272,0.271,0.267,0.005,2%,0,,,,,,,0.001,0.004,0,0.00%,12.70%,,1981,TW,South-East Asia,Wave I,Taiwan 1981,Gross,2%,100%,4%,,,,,,,13%,84%,0%
2013,UK,EU15,Wave IX,United Kingdom 2013,Gross,0.537,0.364,0.33,0.207,39%,0.098,0,0.028,0,0.004,0.023,0.009,0.01,0.034,0,0.10%,4.90%,,2013,UK,EU15,Wave IX,United Kingdom 2013,Gross,39%,100%,47%,0%,14%,0%,2%,11%,4%,5%,17%,0%
2010,UK,EU15,Wave VIII,United Kingdom 2010,Gross,0.542,0.37,0.334,0.208,38%,0.097,0,0.026,0.001,0.004,0.022,0.011,0.011,0.036,0,0.20%,5.10%,,2010,UK,EU15,Wave VIII,United Kingdom 2010,Gross,38%,100%,46%,0%,12%,0%,2%,11%,5%,5%,17%,0%
2007,UK,EU15,Wave VII,United Kingdom 2007,Gross,0.524,0.372,0.339,0.186,35%,0.087,0,0.021,0.001,0.002,0.019,0.013,0.01,0.033,0,0.20%,5.30%,,2007,UK,EU15,Wave VII,United Kingdom 2007,Gross,35%,100%,47%,0%,11%,0%,1%,10%,7%,5%,18%,0%
2004,UK,EU15,Wave VI,United Kingdom 2004,Gross,0.527,0.367,0.344,0.183,35%,0.096,0,0.019,0.001,0.003,0.02,0.015,0.006,0.023,0,0.10%,3.30%,,2004,UK,EU15,Wave VI,United Kingdom 2004,Gross,35%,100%,52%,0%,10%,1%,1%,11%,8%,3%,13%,0%
1999,UK,EU15,Wave V,United Kingdom 1999,Gross,0.53,0.373,0.346,0.184,35%,0.091,0,0.014,0.001,0.005,0.022,0.019,0.003,0.027,0,0.30%,1.80%,,1999,UK,EU15,Wave V,United Kingdom 1999,Gross,35%,100%,50%,0%,8%,1%,3%,12%,10%,2%,15%,0%
1995,UK,EU15,Wave IV,United Kingdom 1995,Gross,0.538,0.38,0.344,0.194,36%,0.086,0.001,0.011,0.002,0.001,0.019,0.03,0.008,0.035,0,0.00%,4.00%,,1995,UK,EU15,Wave IV,United Kingdom 1995,Gross,36%,100%,44%,1%,6%,1%,1%,10%,15%,4%,18%,0%
1994,UK,EU15,Wave IV,United Kingdom 1994,Gross,0.535,0.368,0.339,0.196,37%,0.093,0,0.01,0.002,0.003,0.022,0.029,0.008,0.029,0,0.20%,3.90%,,1994,UK,EU15,Wave IV,United Kingdom 1994,Gross,37%,100%,47%,0%,5%,1%,1%,11%,15%,4%,15%,0%
1991,UK,EU15,Wave III,United Kingdom 1991,Gross,0.501,0.368,0.336,0.165,33%,0.077,0.001,0.009,,0.002,,,0.044,0.032,0,-0.10%,26.80%,,1991,UK,EU15,Wave III,United Kingdom 1991,Gross,33%,100%,47%,1%,5%,,1%,,,27%,19%,0%
1986,UK,EU15,Wave II,United Kingdom 1986,Gross,0.5,0.34,0.303,0.196,39%,0.081,0.002,0.015,,0.007,,,0.054,0.037,0,-0.20%,27.60%,,1986,UK,EU15,Wave II,United Kingdom 1986,Gross,39%,100%,41%,1%,8%,,4%,,,28%,19%,0%
1979,UK,EU15,Wave I,United Kingdom 1979,Gross,0.41,0.295,0.267,0.143,35%,0.068,0.001,0.014,,0.006,,0.003,0.023,0.028,0,-0.10%,16.20%,,1979,UK,EU15,Wave I,United Kingdom 1979,Gross,35%,100%,48%,0%,10%,,4%,,2%,16%,20%,0%
1974,UK,EU15,Historical wave,United Kingdom 1974,Gross,0.374,0.307,0.268,0.106,28%,0.058,0.001,0.005,,0.002,,,0.002,0.039,0,0.00%,1.80%,,1974,UK,EU15,Historical wave,United Kingdom 1974,Gross,28%,100%,54%,1%,5%,,2%,,,2%,37%,0%
